Alpine-Skiverein Seiffen,SVSAC
Alpiner Ski- und Sportverein Lößnitz,SVSAC
Alpiner Skiclub Chemnitz,SVSAC
Alpiner Skiclub Dresden,SVSAC
Alpines Ski Team Dresden,SVSAC
ASC Oberwiesenthal,SVSAC
ASV Lausche,SVSAC
ATSV Gebirge/Gelobtland,SVSAC
Bertsdorfer SV,SVSAC
Bockauer SV,SVSAC
Dorfchemnitzer SV,SVSAC
Dresdner Skiverein,SVSAC
Ehrenfriedersdorfer SV,SVSAC
Einsiedler SV,SVSAC
ESV Lok Beucha,SVSAC
ESV Nassau,SVSAC
FC Erzgebirge Aue,SVSAC
FV Skisport Erzgebirge/Zschopau,SVSAC
FSV 1907 Rittersgrün,SVSAC
FSV 1961 Rempesgrün,SVSAC
Hohburger Sportverein 1990,SVSAC
Kenbukan Erzgebirge,SVSAC
Leipziger Ski-Club,SVSAC
LFV Oberholz,SVSAC
OBV Ringenhain,SVSAC
PSV Schwarzenberg,SVSAC
PSV Zittau,SVSAC
Pulsschlag Neuhausen Erzgebirge,SVSAC
SC Augustusburg,SVSAC
SC Carlsfeld,SVSAC
SC DHfK Leipzig,SVSAC
SC Edelweiß Jöhstadt,SVSAC
SC Eibenstock 1990,SVSAC
SC Kottmar,SVSAC
SC Norweger 1896 Annaberg,SVSAC
SC Rugiswalde,SVSAC
SC Schöneck,SVSAC
SC Sohland 1928,SVSAC
SC Traktor Oberwiesenthal,SVSAC
SG Adelsberg,SVSAC
SG Blau-Weiß Zwenkau,SVSAC
SG Erdmannsdorf,SVSAC
SG Hennersdorf 1909,SVSAC
SG Holzhau,SVSAC
SG Klotzsche,SVSAC
SG Medizin Bad Elster,SVSAC
SG Nickelhütte Aue,SVSAC
SG Schellerhau,SVSAC
SG Stahl Schmiedeberg,SVSAC
SK Dresden-Niedersedlitz,SVSAC
Skiclub Elbufer,SVSAC
Skiteam Pulsnitz,SVSAC
Skiverein Flügelradbaude,SVSAC
Skizunft Dresden,SVSAC
Sportgemeinschaft Dynamo Zinnwald,SVSAC
Sportverein Lokomotive Nordost Leipzig,SVSAC
Sportwelt Seiffen,SVSAC
SSV 1846 Scheibenberg,SVSAC
SSV 1863 Sayda,SVSAC
SSV Altenberg,SVSAC
SSV Auerbach,SVSAC
SSV Geyer,SVSAC
SV 05 Auerbach,SVSAC
SV Aufbau Entwurf,SVSAC
SV Blau-Weiß Dittersbach,SVSAC
SV Clausnitz,SVSAC
SV Eintracht Cämmerswalde,SVSAC
SV Fortschritt Crimmitschau,SVSAC
SV Fortuna Pöhla,SVSAC
SV Großdubrau,SVSAC
SV Großwaltersdorf 1953,SVSAC
SV Grün-Weiß Breitenau,SVSAC
SV Grün-Weiß Elstra,SVSAC
SV Grün-Weiß Pirna,SVSAC
SV Grünbach,SVSAC
SV Hermsdorf,SVSAC
SV Liebertwolkwitz,SVSAC
SV Lok Eilenburg,SVSAC
SV Lok Leipzig Nordost,SVSAC
SV Lok Nossen,SVSAC
SV Mittweidatal 06 Raschau-Markersbach,SVSAC
SV Mühlbach,SVSAC
SV Neudorf,SVSAC
SV Nordisch/ Alpine Zschopau,SVSAC
SV Pöhlatal Königswalde,SVSAC
SV robotron Dresden,SVSAC
SV Rot-Weiß Grumbach,SVSAC
SV Rot-Weiß Werdau,SVSAC
SV Sachsen Müglitztal,SVSAC
SV Schönheide,SVSAC
SV Sehmatal,SVSAC
SV Steina 1885,SVSAC
SV Stützengrün Erzgebirge,SVSAC
SV Tanne Thalheim,SVSAC
SV Trebsen,SVSAC
SV Waldenburg 1844,SVSAC
SV Weiß-Rot Schirgiswalde,SVSAC
Triathlon- und Skiverein 92 Freiberg,SVSAC
TSG Bau Hammerbrücke,SVSAC
TSG Schkeuditz,SVSAC
TSG Sehma,SVSAC
TSV 1861 Spitzkunnersdorf,SVSAC
TSV 1872 Pobershau,SVSAC
TSV 1883 Streckewalde,SVSAC
TSV Bärenstein,SVSAC
TSV Ebersbach,SVSAC
TSV Rot-Weiß Arnsfeld,SVSAC
TuS 1859 Zwönitz,SVSAC
TuS Dippoldiswalde 1992,SVSAC
TuS Voigtsdorf 1907,SVSAC
TV 1875 Pockau,SVSAC
VfB Schöneck,SVSAC
VSC Klingenthal,SVSAC
WSC Erzgebirge Oberwiesenthal,SVSAC
WSG Rodewisch,SVSAC
WSV 08 Johanngeorgenstadt,SVSAC
WSV Erlbach,SVSAC
WSV Grüna,SVSAC
ASV Grossholzhausen,BSV
DAV Peißenberg,BSV
MUNICH YOUNGSTRS,BSV
RG Burig-Mindelheim,BSV
RWV Haselbach-Rhönadler,BSV
SC Ainring,BSV
SC Aising-Pang,BSV
SC Bad Aibling,BSV
SC Bad Tölz,BSV
SC Bergen,BSV
SC Bischofsgrün,BSV
SC Eisenärzt,BSV
SC Fischen,BSV
SC Furth im Wald,BSV
SC Gaißach,BSV
SC Garmisch,BSV
SC Großberg,BSV
SC Halblech,BSV
SC Hammer,BSV
SC Hochvogel München,BSV
SC Kempten,BSV
SC Krün,BSV
SC Mittenwald,BSV
SC Moosham-Egling,BSV
SC Münchberg,BSV
SC Neubau,BSV
SC Obermaiselstein,BSV
SC Oberstaufen,BSV
SC Oberstdorf,BSV
SC Partenkirchen,BSV
SC Pfronten,BSV
SC Reichersbeuern,BSV
SC Rettenberg,BSV
SC Rosenheim,BSV
SC Ruhpolding,BSV
SC Scheidegg,BSV
SC Schliersee,BSV
SC Starnberg,BSV
SC Traunstein,BSV
SC Vachendorf,BSV
SC Zwiesel,BSV
SC/TV Gefrees,BSV
SC Schliersee,BSV
SCMK Hirschau,BSV
SF Gmund-Dürnbach,BSV
SG Hausham,BSV
SG Weiler-Simmerberg,BSV
SK Berchtesgaden,BSV
SK Nesselwang,BSV
Ski Klub Ramsau,BSV
SLV Bernau,BSV
SV Bayerisch Eisenstein,BSV
SV Casino Kleinwalsertal,BSV
SV Finsterau,BSV
SV Germering,BSV
SV Hindelang,BSV
SV Maierhöfen Grünenbach,BSV
SV Nussdorf,BSV
SV Oberteisendorf,BSV
TG Berchtesgaden,BSV
TG Tegernseer Tal,BSV
TSV 1860 München,BSV
TSV Buchenberg,BSV
TSV Hartpenning,BSV
TSV Marquartstein,BSV
TSV Oberammergau,BSV
TSV Schwangau,BSV
TSV Siegsdorf,BSV
TSV Stein-St.Georgen,BSV
TSV Wolfratshausen,BSV
TUS Holzkirchen,BSV
TuS Raubling,BSV
WSV Aschau,BSV
WSV Bischofswiesen,BSV
WSV Glonn,BSV
WSV Grafenau,BSV
WSV Kiefersfelden,BSV
WSV Mitterfirmiansreut,BSV
WSV München,BSV
WSV Oberaudorf,BSV
WSV Oberweissenbrunn,BSV
WSV Reit im Winkl,BSV
WSV Samerberg,BSV
WSV Skadi Bodenmais,BSV
WSV Viechtach,BSV
WSV Warmensteinach,BSV
WSV-DJK Rastbüchl,BSV
SC Willingen,HSV
SKG Gersfeld,HHSV
TGV Schotten,HHSV
WSV 1923 Bad Freienwalde,LSVBrd
BTSV Eintracht Braunschweig,NSV
SC Bad Grund,NSV
SC Buntenbock,NSV
SSC Springe,NSV
WSV Braunlage,NSV
WSV Clausthal-Zellerfeld,NSV
Biathlon Team Saarland,SBSB
DAV Ulm,SBW
Rheinbrüder Karlsruhe,SBW
SC Bad Säckingen,SBW
SC Degenfeld,SBW
SC Enzklösterle,SBW
SC Gosheim,SBW
SC Heubach Bartholomä,SBW
SC Hohenacker,SBW
SC Hinterzarten,SBW
SC Königsbronn,SBW
SC Konstanz,SBW
SC Langenordnach,SBW
SC Lauf,SBW
SC Mahlstetten,SBW
SC Menzenschwand,SBW
SC Münstertal,SBW
SC Sasbach,SBW
SC Schonach,SBW
SC Schönwald,SBW
SC Steinlach,SBW
SC Todtmoos,SBW
SC Todtnau,SBW
SG Niederwangen,SBW
Skiclub Schluchsee,SBW
Skiteam Freiburg,SBW
Skiverein St. Georgen,SBW
SportClub Vogt,SBW
ST Bad Peterstal Griesbach,SBW
ST Schonach-Rohrhardsberg,SBW
SV Agenbach,SBW
SV Baiersbronn,SBW
SV Kirchzarten,SBW
SV Meßstetten,SBW
SV Mitteltal-Obertal,SBW
SV Ravensburg,SBW
SV Schwäbisch Gmünd,SBW
SV-SZ Kniebis,SBW
SZ Bernau,SBW
SZ Breitnau,SBW
SZ Brend,SBW
SZ Calmbach,SBW
SZ Ludwigsburg,SBW
SZ Römerstein,SBW
TSG Reutlingen,SBW
TSG SZ Leutkirch,SBW
TUS Gutach,SBW
TV Weiler i.d.B.,SBW
VfL Pfullingen,SBW
WSC Breisgau-Staufen,SBW
WSG Feldberg,SBW
WSV Ebingen,SBW
WSV Isny,SBW
WSV Mehrstetten,SBW
WSV Schömberg,SBW
Köthen,SVSA
Nordischer Ski-Verein Wernigerode,SVSA
SFV Rothenburg,SVSA
SkiKlub Wernigerode 1911,SVSA
SV Hasselfelde,SVSA
TSV Leuna,SVSA
WSV "Grün-Weiß" Elbingerode,SVSA
WSV Harzgerode,SVSA
WSV Benneckenstein,SVSA
Großbreitenbacher SV,TSV
Luisenthaler SV,TSV
Rhöner WSV,TSV
SC Mengersgereuth-Hämmern,TSV
SC Motor Zella-Mehlis,TSV
SC Steinbach - Hallenberg,TSV
SG Rennsteig Masserberg,TSV
SSV Erfurt 02,TSV
SV 90 Gräfenroda,TSV
SV Biberau,TSV
SV Frankenhain,TSV
SV Motor Tambach-Dietharz,TSV
SV Medizin Bad Liebenstein,TSV
SWV Goldlauter,TSV
Tabarzer SV,TSV
TSG Ruhla/ WSC 07,TSV
WSV 05 Oberhof,TSV
WSV 08 Lauscha,TSV
WSV Asbach,TSV
WSV Bad Lobenstein,TSV
WSV Brotterode,TSV
WSV Kleinschmalkalden,TSV
WSV Scheibe-Alsbach,TSV
WSV Schmiedefeld,TSV
WSV Trusetal,TSV
SV Osdorfer Born,VHSV
Bad Berleburg WSV,WSV
Meinerzhagen WSV,WSV
Neuasternberg - Langewiese,WSV
Rückershausen,WSV
SC Bayer Leverkusen,WSV
SC Bödefeld,WSV
SC Girkhausen,WSV
SG Ennepetal,WSV
SK Winterberg,WSV
Snowteam Neuss,WSV
SV Oberes Banfetal,WSV
Wunderthausen,WSV
